optionSet,code,name,UgEmr Code
All Results,"MTB detected, rifampicin resistance not detected","MTB detected, rifampicin resistance not detected",162204
All Results,"MTB detected, rifampicin resistance detected","MTB detected, rifampicin resistance detected",162203
All Results,"MTB detected, rifampicin resistance indeterminate","MTB detected, rifampicin resistance indeterminate",164104
All Results,MTB Trace Detected RR indeterminate,MTB Trace Detected RR indeterminate,1138
All Results,MTB not detected,MTB not detected,1302
All Results,No AFB (0),No AFB (0),90074
All Results,1-9 AFB per 100HPF (Scanty),1-9 AFB per 100HPF (Scanty),90307
All Results,10-99 AFB per 100 HPF (+),10-99 AFB per 100 HPF (+),90075
All Results,1-10 AFB per HPF(++),1-10 AFB per HPF(++),90076
All Results,> 10 AFB per HPF(+++),> 10 AFB per HPF(+++),90077
All Results,Positive,Positive,703
All Results,Negative,Negative,664
All Results,Normal findings,Normal findings,1115
All Results,Abnormal findings,Abnormal findings,
All Results,Error/Invalid,Error/Invalid,163611
ART Status,Initiated on ART,Initiated on ART,1362
ART Status,Already on ART,Already on ART,1367
Bacteriological index,1+ At least 1 bacillus in every 100 fields,1+ At least 1 bacillus in every 100 fields,
Bacteriological index,2+ At least 1 bacillus in every 10 fields,2+ At least 1 bacillus in every 10 fields,
Bacteriological index,3+ At least 1 bacillus in every field,3+ At least 1 bacillus in every field,
Bacteriological index,4+ At least 10 bacilli in every field,4+ At least 10 bacilli in every field,
Bacteriological index,5+ At least 100 bacilli in every field,5+ At least 100 bacilli in every field,
Bacteriological index,6+ At least 1000 bacilli in every field,6+ At least 1000 bacilli in every field,
Client type,New,New,99380
Client type,Relapse,Relapse,99381
Client type,Return after lost to follow up,Return after lost to follow up,165833
Client type,Treatment after failure,Treatment after failure,165834
Client type,Treatment history Unknown,Treatment history Unknown,165835
Client type,Transfer in,Transfer in,99110
Contact Tracing Results,Referred for TPT,Referred for TPT,
Contact Tracing Results,Initiated on TPT,Initiated on TPT,
Contact Tracing Results,Diagnosed with DS-TB,Diagnosed with DS-TB,
Contact Tracing Results,Diagnosed with DR-TB,Diagnosed with DR-TB,
Contact Tracing Results,Not eligible for TPT,Not eligible for TPT,
Contact Tracing Results,Advised to monitor for TB symptoms (Under test results),Advised to monitor for TB symptoms (Under test results),
Corneal sensation,Present,Present,
Corneal sensation,Absent,Absent,
Counts Fingers,Can count,Can count,
Counts Fingers,Cannot count,Cannot count,
CPT/Dapson,Initiated on CPT,Initiated on CPT,166070
CPT/Dapson,Already on CPT,Already on CPT,
CPT/Dapson,Not on CPT,Not on CPT,
Culture Results,No growth reported (0),No growth reported (0),
Culture Results,Fewer than 10 colonies(Actual number),Fewer than 10 colonies(Actual number),
Culture Results,10-100 colonies (+),10-100 colonies (+),
Culture Results,More than 100 colonies(++),More than 100 colonies(++),
Culture Results,Innumerable/confluent growth(+++),Innumerable/confluent growth(+++),
Death Preventable,Definitely,Definitely,
Death Preventable,Probably,Probably,
Death Preventable,Probably not,Probably not,
Death Preventable,Definitely not,Definitely not,
Death Preventable,Don’t know,Don’t know,
Diagnosis,PBC,PBC,
Diagnosis,PCD,PCD,
Diagnosis,EC,EC,
Disease Classification,Pulmonary Clinically Diagnosed (P-CD) TB,Pulmonary Clinically Diagnosed (P-CD) TB,165830
Disease Classification,Extra pulmonary (EP) TB,Extra pulmonary (EP) TB,165831
Disease Classification,Pulmonary bacteriologically confirmed (P-BC)TB,Pulmonary bacteriologically confirmed (P-BC)TB,165829
Drug Susceptible TB Type,2RHZE/ 4RH,2RHZE/ 4RH,99372
Drug Susceptible TB Type,2RHZE/ 10 RH,2RHZE/ 10 RH,164960
DSTB Lab Examination Types,Diagnosis,Diagnosis,
DSTB Lab Examination Types,Follow-Up Month,Follow-Up Month,
DST Results,Resistant,Resistant,
DST Results,Susceptible,Susceptible,
DST Results,Indeterminate,Indeterminate,
ECG Monitoring Results,N- Normal(<=500 ms),N- Normal(<=500 ms),
ECG Monitoring Results,A- Abnormal(<=500 ms),A- Abnormal(>500 ms),
Event Type (Transfer or Followup),Transfer,Transfer,
Event Type (Transfer or Followup),Followup,Followup,
Final TPT Outcome,Completed,Completed,
Final TPT Outcome,Developed TB Disease,Developed TB Disease,
Final TPT Outcome,Lost To Follow-up,Lost To Follow-up,
Final TPT Outcome,Defaulted,Defaulted,
First Line Drugs,Isoniazid,Isoniazid,
First Line Drugs,Rifampicin,Rifampicin,
First Line Drugs,Ethambutol,Ethambutol,
First Line Drugs,Pyrazinamide,Pyrazinamide,
First Line Drugs,Streptomycin,Streptomycin,
First Line Drugs,High-dose isoniazid,High-dose isoniazid,
Follow up Months,Month 1,Month 1,
Follow up Months,Month 2,Month 2,
Follow up Months,Month 3,Month 3,
Follow up Months,Month 4,Month 4,
Follow up Months,Month 5,Month 5,
Follow up Months,Month 6,Month 6,
Follow up Months,Month 7,Month 7,
Follow up Months,Month 8,Month 8,
Follow up Months,Month 9,Month 9,
Follow up Months,Month 10,Month 10,
Follow up Months,Month 11,Month 11,
Follow up Months,Month 12,Month 12,
Follow up Months,Month 13,Month 13,
Follow up Months,Month 14,Month 14,
Follow up Months,Month 15,Month 15,
Follow up Months,Month 16,Month 16,
Follow up Months,Month 17,Month 17,
Follow up Months,Month 18,Month 18,
Follow up Months,Month 19,Month 19,
Follow up Months,Month 20,Month 20,
Follow up Months,Month 21,Month 21,
Follow up Months,Month 22,Month 22,
Follow up Months,Month 23,Month 23,
Follow up Months,Month 0,Month 0,
Follow up Months,Month 1,Month 1,
Follow up Months,Month 2,Month 2,
Follow up Months,Month 24+,Month 24+,
Grading,0,Grade 0 (No disability found),
Grading,1,Grade 1 (Loss of sensation),
Grading,2,Grade 2 (Visible damage or disability),
HIV Status,Negative,Negative,90167
HIV Status,Newly tested Positive,Newly tested Positive,165397
HIV Status,Known Positive,Known Positive,165350
HIV Status,Unknown,Unknown,90001
Leprosy Current status,Have atleast one insensitive foot(all),Have at least one insensitive foot (all),
Leprosy Current status,With ulcers(all),With ulcers (all),
Leprosy Current status,Disabled still on MDT,Disabled still on MDT,
Leprosy Current status,Disabled no longer on MDT,Disabled no longer on MDT,
Leprosy Current status,Released from treatment,Released from treatment,
Leprosy Detection Method,Self Report,Self Report,
Leprosy Detection Method,Referral,Referral,
Leprosy Detection Method,Contact Examination,Contact Examination,
Leprosy Detection Method,Survey,Survey,
Leprosy Detection Method,Examination of General Suspects,Examination of General Suspects,
Leprosy Disease classification,PB,PB,
Leprosy Disease classification,MB,MB,
Leprosy MDT Regimen,"MB (adult): Rifampicin, Clofazimine, Dapsone","MB (adult): Rifampicin, Clofazimine, Dapsone",
Leprosy MDT Regimen,"MB (child): Rifampicin, Clofazimine, Dapsone","MB (child): Rifampicin, Clofazimine, Dapsone",
Leprosy MDT Regimen,"PB (adult): Rifampicin, Dapsone","PB (adult): Rifampicin, Dapsone",
Leprosy MDT Regimen,"PB (child): Rifampicin, Dapsone","PB (child): Rifampicin, Dapsone",
Leprosy MDT Regimen,"Second line (adult): Clarithromycin, Clofazimine, Minocycline","Second line (adult): Clarithromycin, Clofazimine, Minocycline",
Leprosy MDT Regimen,"Second line (adult): Clarithromycin, Clofazimine, Quinolone","Second line (adult): Clarithromycin, Clofazimine, Quinolone",
Leprosy MDT Regimen,"Second line (child): Clarithromycin, Clofazimine, Minocycline","Second line (child): Clarithromycin, Clofazimine, Minocycline",
Leprosy MDT Regimen,"Second line (child): Clarithromycin, Clofazimine, Quinolone","Second line (child): Clarithromycin, Clofazimine, Quinolone",
Leprosy Reasons for Adverse Events,Rifampicin,Rifampicin,
Leprosy Reasons for Adverse Events,Clofazimine,Clofazimine,
Leprosy Reasons for Adverse Events,Dapsone,Dapsone,
Leprosy Reasons for Adverse Events,Levofloxacin,Levofloxacin,
Leprosy Reasons for Adverse Events,Clarithromycin,Clarithromycin,
